index	Bristow2014_filter	ClN/CLBs_filter	Wavepool_filter	Orlando2008_filter	Kelliher2016_filter	dlxjtk_sort	wavepool_alphabetical_sort	wp_1stper_r2
RTS1					Mitosis - NonPer	1.43E+11		
CDC31					Mitosis - NonPer	1.72E+12		
PAC1					Mitosis - NonPer	1.78E+12		
SOG2					Mitosis - NonPer	1.68E+12		
IRC15					Mitosis - NonPer	917609083.9		
NIP100					Mitosis - NonPer	2.62E+11		
MCM16					Mitosis - NonPer	9.42E+11		
HOS1					Mitosis - NonPer	3.20E+11		
CDC28				Orlando2008	Budding/DNA Replication/Mitosis - Per	5413978615		
CHS2	Bristow2014			Orlando2008	Budding/Mitosis - Per	11880.94026		
CDC14	Bristow2014			Orlando2008	Budding/Mitosis - Per	1.64E+12		
DBF2	Bristow2014			Orlando2008	Budding/Mitosis - Per	45818722.09		
CLB1	Bristow2014	clb		Orlando2008	Budding/Mitosis - Per	6959.107354		
MYO1	Bristow2014			Orlando2008	Budding/Mitosis - Per	994914.7791		
MOB1	Bristow2014			Orlando2008	Budding/Mitosis - Per	70226523.62		
SWE1	Bristow2014			Orlando2008	Budding/Mitosis - Per	3058097.603		
ACE2	Bristow2014		wavepool	Orlando2008	Budding/Mitosis - Per	226099.2391	1	11
FKS1	Bristow2014			Orlando2008	Budding/Mitosis - Per	2043284537		
CDC5	Bristow2014			Orlando2008	Budding/Mitosis - Per	165231.7449		
HOF1	Bristow2014			Orlando2008	Budding/Mitosis - Per	6783.822583		
MYO2	Bristow2014			Orlando2008	Budding/Mitosis - Per	1965021.83		
IQG1	Bristow2014			Orlando2008	Budding/Mitosis - Per	1340243.597		
CLB2	Bristow2014	clb		Orlando2008	Budding/Mitosis - Per	12553.06373		
MSS4				Orlando2008	Budding/Mitosis - Per	1.25E+12		
BUD9				Orlando2008	Budding/Mitosis - Per	221660308.5		
DSE2				Orlando2008	Budding/Mitosis - Per	223.2034717		
ELM1				Orlando2008	Budding/Mitosis - Per	3.12E+11		
TEM1				Orlando2008	Budding/Mitosis - Per	2.19E+11		
INN1					Budding/Mitosis - Per	1.39E+12		
MRC1	Bristow2014			Orlando2008	DNA Replication/Mitosis - Per	1563.532375		
FKH1	Bristow2014		wavepool	Orlando2008	DNA Replication/Mitosis - Per	2805714.519	2	7
FKH2	Bristow2014		wavepool	Orlando2008	DNA Replication/Mitosis - Per	14047599612	3	8
TOF1	Bristow2014			Orlando2008	DNA Replication/Mitosis - Per	74.92219218		
CLB5	Bristow2014	clb		Orlando2008	DNA Replication/Mitosis - Per	2104384.259		
CSM3				Orlando2008	DNA Replication/Mitosis - Per	13422.66135		
CTF4				Orlando2008	DNA Replication/Mitosis - Per	7012431033		
CHL1					DNA Replication/Mitosis - Per	9.91E+11		
MTW1	Bristow2014			Orlando2008	Mitosis - Per	1828208.183		
SHE1	Bristow2014			Orlando2008	Mitosis - Per	2446714.669		
KIP1	Bristow2014			Orlando2008	Mitosis - Per	4626966.708		
CSM1	Bristow2014			Orlando2008	Mitosis - Per	8104788617		
MCD1	Bristow2014			Orlando2008	Mitosis - Per	138.5775462		
MPS1	Bristow2014			Orlando2008	Mitosis - Per	12070641143		
CLB3	Bristow2014	clb		Orlando2008	Mitosis - Per	77307973139		
FIN1	Bristow2014			Orlando2008	Mitosis - Per	10599715979		
HCM1	Bristow2014		wavepool	Orlando2008		18602.15173	4	5
NUM1	Bristow2014			Orlando2008	Mitosis - Per	311202997.8		
YCG1	Bristow2014			Orlando2008	Mitosis - Per	7980196697		
SPC110	Bristow2014			Orlando2008	Mitosis - Per	3541627.002		
PAC11	Bristow2014			Orlando2008	Mitosis - Per	3933811.564		
CIN8	Bristow2014			Orlando2008	Mitosis - Per	5414981.031		
BIM1	Bristow2014			Orlando2008	Mitosis - Per	100310261.4		
SMC1	Bristow2014			Orlando2008	Mitosis - Per	5372906.672		
ECO1	Bristow2014			Orlando2008	Mitosis - Per	654568.6198		
ALK1	Bristow2014			Orlando2008	Mitosis - Per	2211.993685		
YBP2	Bristow2014			Orlando2008	Mitosis - Per	4530522.648		
DUO1	Bristow2014			Orlando2008	Mitosis - Per	81395677.18		
SPC105	Bristow2014			Orlando2008	Mitosis - Per	2868041.223		
CDC20	Bristow2014			Orlando2008	Mitosis - Per	825590.8281		
KIP3	Bristow2014			Orlando2008	Mitosis - Per	55611800364		
ESP1	Bristow2014			Orlando2008	Mitosis - Per	101612917.7		
DAM1	Bristow2014			Orlando2008	Mitosis - Per	3.50E+11		
CBF2	Bristow2014			Orlando2008	Mitosis - Per	1545932.411		
BUB1	Bristow2014			Orlando2008	Mitosis - Per	1965537.718		
KEL2	Bristow2014			Orlando2008	Mitosis - Per	33897058456		
SPO12	Bristow2014			Orlando2008	Mitosis - Per	694189.3555		
IRR1	Bristow2014			Orlando2008	Mitosis - Per	2526.900787		
SIM1	Bristow2014			Orlando2008	Mitosis - Per	2471.006523		
DSN1	Bristow2014			Orlando2008	Mitosis - Per	17860116569		
MAD3	Bristow2014			Orlando2008	Mitosis - Per	60658717420		
SMC3	Bristow2014			Orlando2008	Mitosis - Per	2487.302205		
CSE4	Bristow2014			Orlando2008	Mitosis - Per	787876890.2		
ASK1	Bristow2014			Orlando2008	Mitosis - Per	3447782876		
MIF2	Bristow2014			Orlando2008	Mitosis - Per	9430829.701		
CWP1	Bristow2014			Orlando2008	Mitosis - Per	47131.09884		
SPC34	Bristow2014			Orlando2008	Mitosis - Per	39582233536		
STU2	Bristow2014			Orlando2008	Mitosis - Per	72806.32016		
CLB4	Bristow2014	clb		Orlando2008	Mitosis - Per	25713182.75		
TUB4	Bristow2014			Orlando2008	Mitosis - Per	54136.63381		
NDL1	Bristow2014			Orlando2008	Mitosis - Per	412507.5377		
YCS4	Bristow2014			Orlando2008	Mitosis - Per	818323446.3		
CTF3	Bristow2014			Orlando2008	Mitosis - Per	305207.2241		
BUB2	Bristow2014			Orlando2008	Mitosis - Per	9.09E+11		
PDS5	Bristow2014			Orlando2008	Mitosis - Per	15938.29427		
CTF18	Bristow2014			Orlando2008	Mitosis - Per	3133111.536		
TOP2	Bristow2014			Orlando2008	Mitosis - Per	8403541.167		
SPC98	Bristow2014			Orlando2008	Mitosis - Per	1466095.234		
NUF2	Bristow2014			Orlando2008	Mitosis - Per	2068890.759		
ASE1	Bristow2014			Orlando2008	Mitosis - Per	1617762.652		
SGO1	Bristow2014			Orlando2008	Mitosis - Per	205134878.9		
NDD1	Bristow2014		wavepool	Orlando2008	Mitosis - Per	9839.624759	5	10
NUD1	Bristow2014			Orlando2008	Mitosis - Per	558290.2712		
SPC29	Bristow2014			Orlando2008	Mitosis - Per	15477974.4		
KIP2	Bristow2014			Orlando2008	Mitosis - Per	104722248		
VIK1	Bristow2014			Orlando2008	Mitosis - Per	18927054.3		
BBP1	Bristow2014			Orlando2008	Mitosis - Per	143308366.1		
ALK2	Bristow2014				Mitosis - Per	40979.00608		
TUB2	Bristow2014				Mitosis - Per	3984557909		
NDC1	Bristow2014				Mitosis - Per	1.20E+12		
GAS1	Bristow2014				Mitosis - Per	143246589.4		
APC1	Bristow2014				Mitosis - Per	4.37E+11		
BUB3	Bristow2014				Mitosis - Per	752421224.3		
ACM1	Bristow2014				Mitosis - Per	9335.886435		
AMN1				Orlando2008	Mitosis - Per	13817.77116		
DAD3				Orlando2008	Mitosis - Per	22519743051		
SMC2				Orlando2008	Mitosis - Per	1.94E+11		
CDC26				Orlando2008	Mitosis - Per	1.12E+11		
SCW11				Orlando2008	Mitosis - Per	58568.83205		
OKP1				Orlando2008	Mitosis - Per	3.08E+11		
NNF1				Orlando2008	Mitosis - Per	69192360795		
MCM22				Orlando2008	Mitosis - Per	9.52E+11		
SPC42				Orlando2008	Mitosis - Per	14459.26054		
ASH1		wavepool		Orlando2008	Mitosis - Per	8426.965532		
TOF2				Orlando2008	Mitosis - Per	23725133680		
DYN1				Orlando2008	Mitosis - Per	1.60E+11		
SFI1				Orlando2008	Mitosis - Per	2.77E+11		
APC9				Orlando2008	Mitosis - Per	1.44E+12		
ZDS2				Orlando2008	Mitosis - Per	117347228.7		
SPC24				Orlando2008	Mitosis - Per	1.23E+11		
DYN3				Orlando2008	Mitosis - Per	2.55E+11		
NIS1				Orlando2008	Mitosis - Per	13174.74312		
DMA2				Orlando2008	Mitosis - Per	1.20E+12		
CNM67				Orlando2008	Mitosis - Per	54328759055		
SLK19				Orlando2008	Mitosis - Per	121529498.6		
KIN4				Orlando2008	Mitosis - Per	1.02E+11		
RRD2				Orlando2008	Mitosis - Per	27216423051		
STU1					Mitosis - Per	3.54E+11		
BRN1					Mitosis - Per	1.71E+12		
IML3					Mitosis - Per	2.88E+11		
CMD1					Mitosis - Per	1.77E+12		
UBC9					Mitosis - Per	1.64E+12		
NUR1					Mitosis - Per	5.93E+11		
PDS1					Mitosis - Per	7986737415		
CHL4					Mitosis - Per	1.24E+11		
GLC7					Mitosis - Per	1.77E+12		
MPS2					Mitosis - Per	83193685868		
CSE1					Mitosis - Per	1.68E+12		
SCW4					Mitosis - Per	1.31E+12		
ARP1					Mitosis - Per	1.19E+12		
KEL1					Mitosis - Per	15553452781		
CDC23					Mitosis - Per	1.53E+12		
SPC97					Mitosis - Per	1892675381		
BFA1					Mitosis - Per	3.00E+11		
SMY1					Mitosis - Per	1.27E+12		
UTH1					Mitosis - Per	5.81E+11		
SMC4					Mitosis - Per	56750293264		
NBP1					Mitosis - Per	87054088467		
IPL1					Mitosis - Per	5.34E+11		
KAR9					Mitosis - Per	1.44E+11		
DBF20					Mitosis - Per	7.54E+11		
PCL2	Bristow2014			Orlando2008	Budding - NonPer	42679684.63		
GIC2	Bristow2014			Orlando2008	Budding - NonPer	89.8032538		
RAX2	Bristow2014			Orlando2008	Budding - NonPer	699600.8231		
CDC42	Bristow2014			Orlando2008	Budding - NonPer	1.50E+12		
SLG1	Bristow2014			Orlando2008	Budding - NonPer	8958925.649		
RGA1	Bristow2014			Orlando2008	Budding - NonPer	21237907472		
MSB1	Bristow2014			Orlando2008	Budding - NonPer	6758405962		
DNF2	Bristow2014				Budding - NonPer	41668842404		
YPT31	Bristow2014				Budding - NonPer	1.61E+12		
TPM2	Bristow2014				Budding - NonPer	4.00E+11		
RHO4	Bristow2014				Budding - NonPer	6.04E+11		
MID2	Bristow2014				Budding - NonPer	20944544102		
BUD7	Bristow2014				Budding - NonPer	2.15E+11		
BNR1				Orlando2008	Budding - NonPer	1480447182		
SEC2				Orlando2008	Budding - NonPer	71383659208		
RAX1				Orlando2008	Budding - NonPer	646425865.1		
SNC2				Orlando2008	Budding - NonPer	2.80E+11		
CDC24					Budding - NonPer	1.23E+12		
EDE1					Budding - NonPer	1.54E+11		
RGD1					Budding - NonPer	1.76E+12		
SYP1					Budding - NonPer	4356600700		
ARP2					Budding - NonPer	4.21E+11		
RDI1					Budding - NonPer	4.63E+11		
SAC6					Budding - NonPer	1.31E+11		
SEC1					Budding - NonPer	1.61E+12		
SEC5					Budding - NonPer	1.76E+12		
SAC7					Budding - NonPer	13672703784		
SNF1					Budding - NonPer	1.65E+12		
BEM2					Budding - NonPer	1.63E+12		
SEC4					Budding - NonPer	1.78E+12		
YPT1					Budding - NonPer	1.66E+12		
RGD2					Budding - NonPer	1.77E+12		
YPT32					Budding - NonPer	7.92E+11		
SEC15					Budding - NonPer	1.78E+12		
GSC2					Budding - NonPer	76015682530		
STE20					Budding - NonPer	1.71E+12		
SLT2					Budding - NonPer	481385298.2		
ARP3					Budding - NonPer	3.40E+11		
NAP1					Budding - NonPer	1.78E+12		
ENT2					Budding - NonPer	1.39E+11		
VRP1					Budding - NonPer	19323857123		
MYO5					Budding - NonPer	1.61E+12		
TPM1					Budding - NonPer	1.27E+12		
RHO2					Budding - NonPer	1.17E+12		
RHO5					Budding - NonPer	2237541475		
MSB3					Budding - NonPer	1.78E+12		
LEM3					Budding - NonPer	1.34E+12		
BAG7					Budding - NonPer	9.35E+11		
LAS17					Budding - NonPer	86006934204		
MKK1					Budding - NonPer	1.78E+12		
ABP140					Budding - NonPer	1.33E+12		
PIP2					Budding - NonPer	4.57E+11		
SCP1					Budding - NonPer	3.86E+11		
PHO85					Budding - NonPer	1.66E+12		
RLM1					Budding - NonPer	1.59E+12		
AXL1					Budding - NonPer	2.85E+11		
CLN3	Bristow2014	cln		Orlando2008	Budding - Per	38519266900		
BOI1	Bristow2014			Orlando2008	Budding - Per	143422975.6		
BEM1	Bristow2014			Orlando2008	Budding - Per	158495077.6		
BUD3	Bristow2014			Orlando2008	Budding - Per	195218.9803		
KCC4	Bristow2014			Orlando2008	Budding - Per	5413.411974		
MNN10	Bristow2014			Orlando2008	Budding - Per	6.22E+11		
RGA2	Bristow2014			Orlando2008	Budding - Per	1.28E+11		
GIN4	Bristow2014			Orlando2008	Budding - Per	263.902776		
NRM1	Bristow2014		wavepool			128.7576494	6	9
PEA2	Bristow2014			Orlando2008	Budding - Per	4.94E+11		
MSB2	Bristow2014			Orlando2008	Budding - Per	226826697.4		
RSR1	Bristow2014			Orlando2008	Budding - Per	613422.8989		
TOS2	Bristow2014			Orlando2008	Budding - Per	3566.35314		
GIC1	Bristow2014			Orlando2008	Budding - Per	6235.136513		
SKG6	Bristow2014			Orlando2008	Budding - Per	443044.9567		
AXL2	Bristow2014			Orlando2008	Budding - Per	2.045398059		
CDC11	Bristow2014			Orlando2008	Budding - Per	481808988		
BUD4	Bristow2014			Orlando2008	Budding - Per	14544.05644		
HSL1	Bristow2014			Orlando2008	Budding - Per	20910.55457		
MYO3	Bristow2014			Orlando2008	Budding - Per	52474872.82		
SPA2	Bristow2014			Orlando2008	Budding - Per	1140253895		
BUD8	Bristow2014			Orlando2008	Budding - Per	49650658.94		
CLN1	Bristow2014	cln		Orlando2008	Budding - Per	13490.71327		
BNI5	Bristow2014			Orlando2008	Budding - Per	389169747.1		
BNI4	Bristow2014			Orlando2008	Budding - Per	573726.6781		
PCL1	Bristow2014			Orlando2008	Budding - Per	2.317270221		
MSB4	Bristow2014			Orlando2008	Budding - Per	6532818743		
CLN2	Bristow2014	cln		Orlando2008	Budding - Per	56.43664093		
CDC10	Bristow2014				Budding - Per	1.52E+12		
SHS1	Bristow2014				Budding - Per	1.37E+12		
SEC6	Bristow2014				Budding - Per	13889143735		
PMT4	Bristow2014				Budding - Per	453490.2136		
CDC3	Bristow2014				Budding - Per	3.31E+11		
HSL7				Orlando2008	Budding - Per	1.03E+12		
ENT1				Orlando2008	Budding - Per	3.50E+11		
BOI2				Orlando2008	Budding - Per	5.44E+11		
DNF1				Orlando2008	Budding - Per	9.14E+11		
RHO3				Orlando2008	Budding - Per	1.73E+12		
EXO70				Orlando2008	Budding - Per	1.03E+12		
BCK1				Orlando2008	Budding - Per	15339906823		
FAR1				Orlando2008	Budding - Per	8817040.192		
BUD2				Orlando2008	Budding - Per	3721392866		
SWI6				Orlando2008	Budding - Per	1.87E+11		
SKM1				Orlando2008	Budding - Per	354669323.1		
BEM3				Orlando2008	Budding - Per	5.59E+11		
SKT5					Budding - Per	1.69E+12		
PKC1					Budding - Per	1.44E+12		
EXO84					Budding - Per	1.74E+12		
BUD5					Budding - Per	1.29E+12		
ROM1					Budding - Per	1.65E+12		
CDC12					Budding - Per	38959050948		
SEC10					Budding - Per	1.62E+12		
GYP1					Budding - Per	1.16E+12		
PFY1					Budding - Per	1.74E+12		
MKK2					Budding - Per	8.82E+11		
SEC8					Budding - Per	1.64E+12		
DPB3	Bristow2014			Orlando2008	DNA Replication - NonPer	3547298.844		
REV7	Bristow2014				DNA Replication - NonPer	1.01E+11		
RAD1	Bristow2014				DNA Replication - NonPer	1.30E+12		
RFC5				Orlando2008	DNA Replication - NonPer	16455730141		
RNR3				Orlando2008	DNA Replication - NonPer	1.66E+12		
CDC6				Orlando2008	DNA Replication - NonPer	776052763.3		
POB3				Orlando2008	DNA Replication - NonPer	1.37E+12		
HIR1					DNA Replication - NonPer	1.53E+12		
TEL1					DNA Replication - NonPer	1.08E+12		
ORC2					DNA Replication - NonPer	1.78E+12		
MEC1					DNA Replication - NonPer	1.72E+12		
MSI1					DNA Replication - NonPer	98822873189		
CHK1					DNA Replication - NonPer	1.74E+12		
RIM1					DNA Replication - NonPer	1.78E+12		
DBF4					DNA Replication - NonPer	76718469153		
DPB4					DNA Replication - NonPer	1.37E+12		
RAD9					DNA Replication - NonPer	9.03E+11		
RAD30					DNA Replication - NonPer	5.32E+11		
RAD3					DNA Replication - NonPer	1.53E+12		
RAD24					DNA Replication - NonPer	8.21E+11		
SLD3					DNA Replication - NonPer	1.53E+12		
RNR4					DNA Replication - NonPer	1.57E+12		
ORC6					DNA Replication - NonPer	1.38E+12		
DNA2					DNA Replication - NonPer	1.75E+12		
MCM10					DNA Replication - NonPer	8.81E+11		
RNR2					DNA Replication - NonPer	7.98E+11		
PSF2					DNA Replication - NonPer	9.65E+11		
DPB11					DNA Replication - NonPer	8.81E+11		
TAH11					DNA Replication - NonPer	1.37E+12		
RFC2					DNA Replication - NonPer	1.71E+12		
NOC3					DNA Replication - NonPer	9.13E+11		
SIR3					DNA Replication - NonPer	1.67E+12		
ORC5					DNA Replication - NonPer	1.33E+12		
RFC3					DNA Replication - NonPer	40475530329		
CRT10					DNA Replication - NonPer	1.78E+12		
SLD7					DNA Replication - NonPer	2.31E+11		
REV3					DNA Replication - NonPer	6.64E+11		
DDC1					DNA Replication - NonPer	1.20E+12		
ORC4					DNA Replication - NonPer	2.54E+11		
RFA1	Bristow2014			Orlando2008	DNA Replication - Per	259.5928993		
HTB2	Bristow2014			Orlando2008	DNA Replication - Per	3445.951098		
HTA2	Bristow2014			Orlando2008	DNA Replication - Per	2171.831517		
MCM2	Bristow2014			Orlando2008	DNA Replication - Per	196845147		
POL12	Bristow2014			Orlando2008	DNA Replication - Per	3026.62837		
HHF1	Bristow2014			Orlando2008	DNA Replication - Per			
HHT1	Bristow2014			Orlando2008	DNA Replication - Per			
POL30	Bristow2014			Orlando2008	DNA Replication - Per	61.40612714		
RIF1	Bristow2014			Orlando2008	DNA Replication - Per	41110.68416		
CDC7	Bristow2014			Orlando2008	DNA Replication - Per	543270694.1		
CDC9	Bristow2014			Orlando2008	DNA Replication - Per	136758.2513		
PSF1	Bristow2014			Orlando2008	DNA Replication - Per	5139797078		
SIR4	Bristow2014			Orlando2008	DNA Replication - Per	8.90E+11		
SLD5	Bristow2014			Orlando2008	DNA Replication - Per	281706.1072		
MCM3	Bristow2014			Orlando2008	DNA Replication - Per	3569312.913		
RNR1	Bristow2014			Orlando2008	DNA Replication - Per	165.5975155		
MCM6	Bristow2014			Orlando2008	DNA Replication - Per	3878929450		
CLB6	Bristow2014	clb		Orlando2008	DNA Replication - Per	34774759.38		
ASF1	Bristow2014			Orlando2008	DNA Replication - Per	4.654192854		
RFA3	Bristow2014			Orlando2008	DNA Replication - Per	10118924.51		
POL32	Bristow2014			Orlando2008	DNA Replication - Per	12918.79883		
PRI2	Bristow2014			Orlando2008	DNA Replication - Per	58.96557189		
SLD2	Bristow2014			Orlando2008	DNA Replication - Per	188691669.2		
RAD27	Bristow2014			Orlando2008	DNA Replication - Per	5.91027963		
CDC45	Bristow2014			Orlando2008	DNA Replication - Per	4461.825859		
ORC1	Bristow2014			Orlando2008	DNA Replication - Per	1.21E+11		
POL1	Bristow2014			Orlando2008	DNA Replication - Per	54.19771168		
POL2	Bristow2014			Orlando2008	DNA Replication - Per	0.711998958		
RFA2	Bristow2014			Orlando2008	DNA Replication - Per	6688.810696		
RAD17	Bristow2014			Orlando2008	DNA Replication - Per	804887445.7		
RAD53	Bristow2014			Orlando2008	DNA Replication - Per	2903.372593		
RLF2	Bristow2014			Orlando2008	DNA Replication - Per	3769395515		
DPB2	Bristow2014			Orlando2008	DNA Replication - Per	499.3075377		
MCM7	Bristow2014				DNA Replication - Per	1330898675		
POL3	Bristow2014				DNA Replication - Per	455616.0342		
MCM5	Bristow2014				DNA Replication - Per	392.6967782		
MIP1	Bristow2014				DNA Replication - Per	9.37E+11		
MCM4	Bristow2014				DNA Replication - Per	217523358.6		
LCD1				Orlando2008	DNA Replication - Per	8.73E+11		
SPT16				Orlando2008	DNA Replication - Per	1.49E+12		
PRI1				Orlando2008	DNA Replication - Per	4.90E+11		
MEC3				Orlando2008	DNA Replication - Per	66989938169		
TOP1				Orlando2008	DNA Replication - Per	1.72E+11		
RFC4				Orlando2008	DNA Replication - Per	7.96E+11		
PSF3				Orlando2008	DNA Replication - Per	21243489125		
SET2					DNA Replication - Per	1.74E+12		
POL31					DNA Replication - Per	2375820847		
ABF1					DNA Replication - Per	7.95E+11		
ORC3					DNA Replication - Per	1.12E+12		
CAC2					DNA Replication - Per	6.75E+11		
HIR2					DNA Replication - Per	469047467.8		
RFC1					DNA Replication - Per	7.86E+11		
ERP2	Bristow2014			Orlando2008		450606585.4		
ERP1	Bristow2014			Orlando2008		48904258402		
SWD1	Bristow2014			Orlando2008		41179201629		
SEN34	Bristow2014			Orlando2008		113.2259308		
KIN3	Bristow2014			Orlando2008		46256.76478		
YAT1	Bristow2014			Orlando2008		62447582.6		
RFT1	Bristow2014			Orlando2008		22149593.77		
RRN10	Bristow2014			Orlando2008		1.11E+12		
HEK2	Bristow2014			Orlando2008		187938204.6		
AST1	Bristow2014			Orlando2008		1.16E+11		
YBL071C-B	Bristow2014			Orlando2008		1.10E+12		
FLR1	Bristow2014			Orlando2008		1.10E+11		
MNN2	Bristow2014			Orlando2008		1.12E+11		
ALG14	Bristow2014			Orlando2008		0.168771912		
YBR071W	Bristow2014			Orlando2008		655723.5077		
RDH54	Bristow2014			Orlando2008		3297.034725		
ECM33	Bristow2014			Orlando2008		74945.00805		
YBR085C-A	Bristow2014			Orlando2008		42369635.12		
